ref_id,doi,authors,citation_reference,year
An1978,10.1016/0029-554x(78)90848-0,H.H. Andersen;F. Besenbacher;H. Knudsen,"H.H.Andersen,F.Besenbacher and H.Knudsen Nucl.Instrum.Methods Phys.Res. 149,121",1978
An1980,10.1016/0029-554x(80)91234-3,H.H. Andersen;F. Besenbacher;P. Goddiksen,"H.H.Andersen,F.Besenbacher and P.Goddiksen Nucl.Instr.Methods Phys.Res. 168,75",1980
An1981,10.1016/0029-554x(81)91048-x,H.H. Andersen;B.R. Nielsen,"H.H.Andersen and B.R.Nielsen Nucl.Instrum.Methods Phys.Res. 191,475 (The results published in this paper consist of reevaluated Au-stopping cross sections from the publication An77a)",1981
An1994,10.1016/0168-583x(94)95523-9,J.U. Andersen;G.C. Ball;J.A. Davies;W.G. Davies;J.S. Forster;J.S. Geiger;H. Geissel;V.A. Ryabov,"J.U.Andersen,G.C.Ball,J.A.Davies,W.G.Davies,J.S.Forster, J.S.Geiger,H.Geissel and V.A.Ryabov Nucl.Instrum.Methods Phys.Res 90,104",1994
An2002,10.1016/s0168-583x(02)00692-4,H.H. Andersen;A. Csete;T. Ichioka;H. Knudsen;S.P. Møller;U.I. Uggerhøj,"H.H. Andersen, A. Csete, T. Ichioka, H. Knudsen, S.P.MÖller, and U.I. Uggerhoj Nucl. Instr. Methods B 194, 217",2002
And1969,,V.N.Andreev;V.G.Nedopekin;V.I.Rogov,"V.N.Andreev,V.G.Nedopekin and V.I.Rogov, Soviet Phys.JETP Vol.29,No5,807",1969
Ang2000,10.1016/s0168-583x(00)00158-0,C Angulo;Th Delbar;J.-S Graulich;P Leleux,"C.Angulo,Th.Delbar,J.-S.Graulich,P.Leleux Nucl.Instrum. Methods Phys.Res. B 170, 21",2000
Ant1991,10.1016/0168-583x(91)95165-a,A.J. Antolak;B.N. Handy;D.H. Morse;A.E. Pontau,"A.J.Antolak,B.N.Handy,D.H.Morse and A.E.Pontau Nucl.Instrum. Methods Phys.Res. B59/60,13 (1991)",1991
Ap1970,10.1002/pssa.19700030336,P. Apel;U. Müller-jahreis;G. Rockstroh;S. Schwabe,"F.Apel,U.Mueller-Jahrreiss,G.Rockstroh,S.Schwabe Phys.stat.solidi(a) 3,K173 (see also Ber69 and Ne76)",1970
Ar1969,10.1134/s0021364017060042,R. M. Arkhipov;A. V. Pakhomov;M. V. Arkhipov;I. Babushkin;Yu. A. Tolmachev;N. N. Rosanov,"E.P.Arkhipov and Yu.V.Gott Sov.Phys.-JETP 29,615",1969
Ara2002,10.1016/s0168-583x(01)01174-0,L.L. Araujo;P. L. Grande;M. Behar;J.H.R. dos Santos,"L.L.Araujo,P. L. Grande,M.Behar,J.H.R. dos Santos Nucl.Instrum.Methods Phys.Res. B190, 79",2002
Ara2004,10.1016/j.nimb.2004.01.062,L.L. Araujo;M. Behar;P. L. Grande;J.F. Dias,"L.L.Araujo,M.Behar,P.L.Grande,J.F.Dias Nucl.Instrum.Methods B219-220, 246",2004
At1990,10.1103/physrevb.41.6117,K. Arstila;J. Keinonen;P. Tikkanen,"K.Arstila,J.Keinonen and P.Tikkanen, Phys.Rev. B41,6117 (1990) (Ge data superseded by At91)",1990
At1991,10.1103/physrevb.43.13967,K. Arstila;J. Keinonen;P. Tikkanen;A. Kuronen,"K.Arstila,J.Keinonen,P.Tikkanen and A.Kuronen Phys.Rev. B43,13967",1991
At1995,10.1016/0168-583X(95)00571-4,K. Arstila;J. Keinonen;P. Tikkanen;A. Kuronen,"K.Arstila,J.Keinonen,P.Tikkanen Nucl.Instrum.Methods Phys. Res. B101, 321",1995
At2000,,K.Arstila,"K.Arstila Nucl.Instrum.Methods Phys. Res. B168, 473",2000
Ay1981a,10.1109/tns.1981.4331385,J. M. Anthony;P. D. Parker;W. A. Lanford,"J.M.Anthony,P.D.Parker and W.A.Lanford IEEE Trans.Nucl.Science,Vol28,No.2,1227",1981
Ay1981b,10.1016/0029-554x(81)90248-2,J.M. Anthony;William A. Lanford,"J.M.Anthony and W.A.Lanford Nucl.Instrum.Methods 186,647",1981
Ay1982,10.1103/physreva.25.1868,J. M. Anthony;W. A. Lanford,"J.M.Anthony and W.A.Lanford Phys.Rev. A25,1868",1982
Aze2002,10.1103/physrevb.65.075203,G. de M. Azevedo;M. Behar;J. F. Dias;P. L. Grande;D. L. da Silva;G. Schiwietz,"G.de M.Azevedo,M.Behar,J.F.Dias,P.L.Grande, and D.L.da Silva Phys. Rev. B65,075203",2002
Bä1936,10.1002/andp.19364170307,Heinrich Bätzner,"H.Bätzner, Ann.Phys.(Leipzig) 25,233 (1936)",1936
Ba1983a,10.1016/0167-5087(83)90093-5,H. Baumgart;W. Arnold;H. Berg;E. Huttel;G. Clausnitzer,"H.Baumgart,W.Arnold,H.Berg,E.Huttel and G.Clausnitzer Nucl.Instrum.Methods Phys.Res. 204,597",1983
Ba1983c,10.1016/0167-5087(83)91324-8,H. Baumgart;H. Berg;E. Huttel;E. Pfaff;G. Reiter;G. Clausnitzer,"H.Baumgart,H.Berg,E.Huttel,E.Pfaff,G.Reiter and G.Clausnitzer Nucl.Instrum.Methods Phys.Res. 215,319",1983
Ba1984a,10.1016/0168-583x(84)90175-7,H. Baumgart;H. Berg;E. Huttel;E. Pfaff;G. Reiter;G. Clausnitzer,"H.Baumgart,H.Berg,E.Huttel,E.Pfaff,G.Reiter and G.Clausnitzer Nucl.Instrum.Methods Phys.Res. B2,145",1984
Ba1984b,10.1016/0168-583x(84)90561-5,H. Baumgart;W. Arnold;J. Günzl;E. Huttel;A. Hofmann;N. Kniest;E. Pfaff;G. Reiter;S. Tharraketta;G. Clausnitzer,"H.Baumgart,W.Arnold,J.Günzl,E.Huttel,A.Hofmann,N.Kniest, E.Pfaff,G.Reiter,S.Tharraketta and G.Clausnitzer Nucl. Instrum.Methods Phys.Res. B5,1 (1984)",1984
BA2009,10.1063/1.3120044, N. P. Barradas; E. Alves; Z. Siketic; I. Bogdanovic Radovic,"N.P.Barradas, E. Alves, Z.Siketic, I.Bogdanovic Radovic AIP Conf. Proc. 1099, 331",2009
BA2011,10.1063/1.3586112,N. P. Barradas; E. Alves; Z. Siketic; I. Bogdanovic Radovic,"N.P.Barradas, E, Alves, Z.Siketic, I.Bogdanovic Radovic AIP Conf. Proc. 1336, 319",2011
BA2012a,10.1016/j.nimb.2011.07.030, N. P. Barradas; E. Alves; Z.Siketic; I. Bogdanovic Radovic,"N.P.Barradas, E, Alves, Z.Siketic, I.Bogdanovic Radovic, Nucl. Instrum. Methods B 273, 30",2012
BA2012b,10.1016/j.nimb.2011.07.029, N. P. Barradas; E. Alves; Z.Siketic; I. Bogdanovic Radovic,"N.P.Barradas, E, Alves, Z.Siketic, I.Bogdanovic Radovic, Nucl. Instrum. Methods B 273, 26",2012
BA2012c,10.1016/j.nimb.2011.07.028, N. P. Barradas; E. Alves; Z.Siketic; I. Bogdanovic Radovic,"N.P.Barradas, E, Alves, Z.Siketic, I.Bogdanovic Radovic, Nucl. Instrum. Methods B 273, 22",2012
BA2014b,10.1016/j.nimb.2014.02.089,N.P. Barradas;J.G. Marques;E. Alves,"N.P. Barradas, J.G. Marques, E. Alves Nucl. Instrum. Methods B 332, 330",2014
BA2015,10.1016/j.nimb.2015.08.034,N.P. Barradas;A. Bergmaier;K. Mizohata;M. Msimanga;J. Räisänen;T. Sajavaara;A. Simon,"N.P.Barradas,A.Bergmaier,K.Mizohata,M.Msimanga,J.Raisanen, T.Sajavaara, A.Simon  Nucl. Instrum. Methods B 360 (2015) 90 ",2015
Bae1987,10.1103/physreva.35.51,W. Y. Baek;G. H. Both;D. Gassen;W. Neuwirth;M. Zielinski,"W.Y.Baek,G.H.Both,D.Gassen,W.Neuwirth and M.Zielinski Phys.Rev. A35,51",1987
Bae2020,10.1103/physreve.102.062418,W. Y. Baek;T. Braunroth;L. de La Fuente Rosales;J. M. Rahm;H. Rabus,"W.Y.Baek, T. Braunroth, L. de La Fuente Rosales, J.M. Rahm, H. Rabus, Phys.Rev. E 102, 062418 (2020).",2020
BB1994,,H.I.Bak;Y.D.Bae;C.S.Kim;M.S.Kim,"H.I.Bak,Y.D.Bae,C.S.Kim,M.S.Kim Nucl.Instrum.Methods Phys.Res. B93, 234",1994
Bbi2010,10.1016/j.nimb.2009.09.058,M. Barbui; D. Fabris; M. Lunardon; S. Moretto; G. Nebbia; S. Pesente; G. Viesti; M. Cinausero; G. Prete; V. Rizzi; K. Hagel; S. Kowalski; J.B. Natowitz; L. Qin; R. Wada; Z. Chen,"M. Barbui and D. Fabris and M. Lunardon and S. Moretto and G. Nebbia and S. Pesente and G. Viesti and M. Cinausero and G. Prete and V. Rizzi and K. Hagel and S. Kowalski and J.B. Natowitz and L. Qin and R. Wada and Z. Chen,
Nuclear Instruments and Methods in Physics Research Section 268, 20-27 (2010)",2010
BC1978,10.1016/0029-554x(78)90954-0,J.E.E. Baglin;W.K. Chu,"J.E.E.Baglin and W.K.Chu Nucl.Instrum.Methods Phys.Res. 149,695",1978
Bc2005,10.1016/j.nimb.2005.04.060,M. Bianconi;N.P. Barradas;L. Correra,"M.Bianconi,N.P.Barradas,L.Correra Nucl.Instrum.Methods B239, 127",2005
Bd1956,10.1103/physrev.103.32,M. Bader;R. E. Pixley;F. S. Mozer;W. Whaling,"M.Bader,R.E.Pixley,F.S.Mozer and W.Whaling Phys.Rev. 103,32",1956
Be1980,10.1002/pssa.2210680125,A. A. Bednyakov;Yu. V. Bulgakov;V. S. Nikolaev;V. L. Chernov,"A.A.Bednyakov,Yu.V.Bulgakov,V.S.Nikolaev and V.L.Chernov, Sov.Phys.-JETP 51,954 (1980)",1980
Be1981,10.1002/pssa.2210680125,A. A. Bednyakov;Yu. V. Bulgakov;V. S. Nikolaev;V. L. Chernov,"A.A.Bednyakov,Yu.V.Bulgakov,V.S.Nikolaev and V.L.Chernov, Phys.Status Solidi A68,187",1981
Bel2025,10.1016/j.vacuum.2025.114210,A. Belalia;A. Guesmia; M. Masenya;Z. M. Khumalo;M. Msimanga;M. Madhuku;C. B. Mtshali; M. Nkosi,"Belalia et al, Vacuum 238 (2025) 114210",2025
Ben1991,10.1016/0168-583x(91)95438-j,G.G. Bentini;M. Bianconi;R. Nipoti;F. Malaguti;E. Verondini,"G.G.Bentini,M.Bianconi,R.Nipoti,F.Malaguti and E.Verondini Nucl.Instrum.Methods Phys.Res. B53,1",1991
Ben1993,10.1016/0168-583x(93)96070-s,G.G. Bentini;M. Bianconi;R. Nipoti,"G.G.Bentini,M.Bianconi and R.Nipoti Nucl.Instrum.Methods Phys.Res. B80,33",1993
Ber1969,10.1002/pssb.19690350128,F. Bernhard;U. Müller-Jahreis;G. Rockstroh;S. Schwabe,"F.Bernhard,U.Mueller-Jahrreiss,G.Rockstroh,S.Schwabe Phys.Stat.Solidi 35,285",1969
Bez1975,10.1016/0029-554x(75)90081-6,G. Betz;H.-J. Isele;E. Rössle;G. Hortig,"G.Betz, H.-J.Isele,E.Rössle and G.Hortig Nucl. Instrum. Methods 123, 83",1975
BF1986,10.1016/0168-583x(86)90261-2,J.P. Biersack;D. Fink;W. Miekeley;K. Tjan,"J.P.Biersack,D.Fink,W.Miekeley and K.Tjan Nucl. Instr. Methods Phys. Res. B15,96",1986
BF2009,10.1103/physreva.80.062901,Moni Behar;Raul C. Fadanelli;Isabel Abril;Rafael Garcia-Molina;Cristian D. Denton;Luiz C. C. M. Nagamine;Néstor R. Arista,"M.Behar,R.C.Fadanelli,I.Abril,R.Garcia-Molina,C.D.Denton, L.C.C.M.Nagamine, N.R.Arista Phys. Rev. A80, 062901",2009
BF2012,10.1140/epjd/e2012-30364-1,M. Behar;R.C. Fadanelli;L.C.C.M. Nagamine;E.D. Cantero;G.H. Lantschner;J.C. Eckardt;N.R. Arista;R. Garcia-Molina;I. Abril,"M.Behar, R.C.Fadanelli, L.C.C.M.Nagamine, E.D.Cantero, G.H.Lantschner,J.C.Eckardt, N.R.Arista,R. Garcia-Molina, and I. Abril Eur. Phys. J. D (2012) 66, 247 (2012)",2012
BG1965,10.1016/0029-5582(65)90478-5,W. Booth;I.S. Grant,"W.Booth and I.S.Grant Nucl.Phys. 63,481",1965
Bg1967,10.1007/bf01246275,G. F. Bogdanov;V. P. Kabaev;F. V. Lebedev;G. M. Novikov,"G.F.Bogdanov,V.B.Kabaev,F.V.Lebedev and G.M.Novikov Sov.At.Energy 122,133",1967
Bg1998,10.1103/physrevb.58.5139,M. Bergsmann;P. Hörlsberger;F. Kastner;P. Bauer,"M.Bergsmann,P.Hörlsberger,F.Kastner, and P.Bauer Phys. Rev. B58, 5139",1998
Bg2000,10.1103/physrevb.62.3153,M. Bergsmann;W. Raab;G. Schrenk;F. Kastner;R. Díez Muiño;A. Arnau;A. Salin;P. Bauer;P. M. Echenique,"M.Bergsmann,W.Raab,G.Schrenk,F.Kastner,R.Díez Muino,A.Arnau,A.Salin, P.Bauer, and P.M.Echenique Phys. Rev. B62, 3153",2000
BG2006,10.1093/rpd/ncl514,W. Y. Baek;B. Grosswendt;G. Willems,"W.Y.Baek, B.Grosswendt, G.Willems Rad. Prot. Dosimetry 122, 32",2006
Bh1973,10.1016/0040-6090(73)90060-6,R. Behrisch;B.M.U. Scherzer,"R.Behrisch and B.M.U.Scherzer Thin Solid Films 19,247",1973
BH1992,10.1016/0168-583X(92)95995-4,H.Bichsel; T.Hiraoka,"H.Bichsel and T.Hiraoka, Nucl. Instrum. Methods Phys. Res. B66, 345 (1992)",1992
Bi1978,10.1016/0029-554x(78)90633-x,R. Bimbot;S. Della Negra;D. Gardes;H. Gauvin;A. Fleury;F. Hubert,"R.Bimbot,S.Della Negra,D.Gardes and H.Gauvin Nucl.Instrum.Methods Phys.Res. 153,161",1978
Bi1980,10.1016/0029-554x(80)90436-x,R. Bimbot;D. Gardes;H. Geissel;T. Kitahara;P. Armbruster;A. Fleury;F. Hubert,"R.Bimbot,D.Gardes,H.Geissel,T.Kitahara,P.Armbruster, A.Fleury,F.Hubert Nucl.Instrum.Methods 174, 231",1980
Bi1986,10.1016/0168-583x(86)90443-x,R. Bimbot;H. Gauvin;I. Orliange;R. Anne;G. Bastin;F. Hubert,"R.Bimbot,H.Gauvin,I.Orliange,R.Anne,G.Bastin and F.Hubert Nucl.Instrum.Methods Phys.Res. B17,1",1986
Bi1989a,10.1016/0168-583x(89)90683-6,R. Bimbot;C. Cabot;D. Gardes;H. Gauvin;R. Hingmann;I. Orliange;L. de Reilhac;F. Hubert,"R.Bimbot,C.Cabot,D.Gardes,H.Gauvin,R.Hingmann,I.Orliange L.de Reilhac and F.Hubert Nucl.Instrum.Methods Phys.Res. B44,1",1989
Bi1989b,10.1016/0168-583x(89)90684-8,R. Bimbot;C. Cabot;D. Gardes;H. Gauvin;I. Orliange;L. de Reilhac;K. Subotic;F. Hubert,"R.Bimbot,C.Cabot,D.Gardes,H.Gauvin,I.Orliange,L.de Reilhac, K.Subotic and F.Hubert Nucl.Instrum.Methods Phys.Res. B44,19",1989
Bi1990,10.1080/10420158908214153,R. Bimbot;H. Gauvin;J. Herault;R. Anne;G. Bastin;F. Hubert,"R.Bimbot,H.Gauvin,J.Herault,R.Anne,G.Bastin and F.Hubert Radiat.Eff. 110,15 (1989) Similar to He88. Numerical data in Ga87 and He91",1989
Bi1996,10.1016/0168-583X(95)00804-7,R. Bimbot; S. Barbey; T. Benfoughal; F. Clapier; M. Mirea; N. Pauwels; S. Pierre; M.F. Rivet; G. Fares; A. Hachem; R. Anne; Y. Georget and R. Hue; C. Tribouillard,"R.Bimbot et al. Nucl.Instrum.Methods Phys.Res. B107,9",1996
Bi2000,,R.Bimbot,"R.Bimbot et al. Nucl.Instrum.Methods Phys.Res. B170,329",2000
Bie1972,10.1016/0031-8914(72)90256-x,D.J. Bierman;D. Van Vliet,"D.J.Bierman and D. van Vliet Physica 57,221",1972
Bj1975,10.1088/0022-3727/8/7/010,V W E Burgess,"V.W.E.Burgess J.Phys.D: Appl. Phys. 8,782",1975
BL1974,10.1080/00337577408241460,A. Bontemps;E. Ligeon;J. Fontenille,"A.Bontemps,E.Ligeon and J.Fontenille Rad. Effects 21,181",1974
Bl1980,10.1016/0029-554x(80)91231-8,R. Blume;W. Eckstein;H. Verbeek,"R.Blume,W.Eckstein and H.Verbeek Nucl.Instrum.Methods Phys.Res. 168,57",1980
Bla1990,10.1016/0375-9474(93)90294-8,B. Blank;J.-J. Gaimard;H. Geissel;K.-H. Schmidt;H. Stelzer;K. Sümmerer;D. Bazin;R. Del Moral;J.P. Dufour;A. Fleury;F. Hubert;H.-G. Clerc;M. Steiner,"B.Blank,J.-J.Gaimard,H.Geissel,G.Münzberg,K.-H.Schmidt,H.Stelzer and K.Sümmerer Nucl.Instrum.Methods Phys.Res. B51,85",1990
Blo1980,10.1016/s0029-554x(79)91955-4,K. Ishii;G. Blondiaux;M. Valladon;J.L. Debrun,"G.Blondiaux,M.Valladon,K.Ishii,J.L.Debrun Nucl. Instr. Methods 168,29 No stopping powers given",1980
BM1973,10.1063/1.1662621,Walter Bauer;R. G. Musket,"W.Bauer and R.G.Musket J.Appl.Phys. 44,2606",1973
Bm1986,10.1016/0168-583x(86)90263-6,U. Bussmann;N. Hecking;K.F. Heidemann;E. Te Kaat,"U.Bussmann,N.Hecking,K.F.Heidemann and E.Te Kaat Nucl.Instrum.Methods Phys.Res. B15,105",1986
Bn1980,10.1016/0029-554x(80)90793-4,K. Brunner;W. Hink;M. Roth,"K.Brunner,W.Hink,M.Roth Nucl.Instrum.Methods Phys.Res. 173,357",1980
BN2002,10.1016/s0168-583x(02)00494-9,N.P. Barradas;C. Jeynes;R.P. Webb;E. Wendler,"N.P.Barradas,C.Jeynes,R.P.Webb and E.Wendler Nucl.Instrum.Methods Phys.Res. B194,15",2002
Bo1972,10.1007/bf01486396,H. J. Born;Helene Timoféeff-Ressovsky,"J.A.Borders Radiat.Eff. 16,253",1972
Bo1974,10.1080/00337577408241458,J. A. Borders,"J.A.Borders Radiat.Eff. 21,165",1974
Bö1977,10.1016/0029-554x(77)90374-3,P. Borgesen;M-A. Nicolet,"P.Boergesen and M.A.Nicolet Nucl.Instrum.Methods Phys.Res. 140,541",1977
Bö1982a,10.1016/0029-554x(82)90492-x,Peter Børgensen;Chen Hao-Ming;Hans Sørensen,"P.Boergesen,C. Hao-Ming,H.Soerensen Nucl.Instrum.Methods Phys.Res. 194, 71",1982
Bö1982b,10.1016/0167-5087(82)90486-0,Peter Børgesen; HansSørensen,"P.Boergesen,H.Soerensen Nucl.Instrum.Methods Phys.Res. 200, 571",1982
Bob2023,10.1016/j.nimb.2023.165094,T.L. Bobrovskiy;M.V. Bokhovko; A.F. Gurbich;P.S. Prusachenko,"T.L. Bobrovskiy et al, Nuclear Instruments and Methods in Physics Research B 543 (2023) 165094",2023
Bon1980,10.1016/0029-554X(80)91227-6,G. Blondiaux; M. Valladon; K. Ishii; J.L. Debrun,"G. Blondiaux, M. Valladon, K. Ishii, J.L. Debrun, Nucl.Instrum. Meth. 168, 29 (1980)",1980
Bot1985a,10.2307/3576303,G. Both;K. Lohmer;W. Neuwirth;R. Schmidt,"G.Both,K.Lohmer,W.Neuwirth and R.Schmidt Radiat. Res. 101,60",1985
Bp1971,10.1103/physreva.4.562,E. Bonderup;P. Hvelplund,"E.Bonderup and P.Hvelplund Phys.Rev. A4,562",1971
BP1979,10.1063/1.326666,R. B. Brown;D. Powers,"R.B.Brown, D.Powers J.Appl.Phys. 50,5099",1979
Br1984a,10.1016/0168-583x(84)90469-5,Peter Bauer;Friedrich Aumayr;Dieter Semrad;B.M.U. Scherzer,"P.Bauer,F.Aumayr,D.Semrad and B.M.U.Scherzer, Nucl.Instrum.Methods Phys.Res. B1,1 (1984)",1984
Br1984b,10.1016/0168-583x(84)90176-9,P. Bauer;D. Semrad;R. Golser,"P.Bauer,D.Semrad and R.Golser, Nucl.Instrum.Methods Phys.Res. B2,149 (1984)",1984
Br1986,10.1016/0168-583x(86)90503-3,Peter Bauer;Dieter Semrad,"P.Bauer and D.Semrad, Nucl.Instrum.Methods Phys.Res. B13,201 (1986)",1986
Br1990,,P.Bauer,"P.Bauer, Nucl.Instrum.Methods Phys.Res. B45,673 (1990)",1990
Br1992a,10.1016/0168-583x(92)95737-c,Peter Bauer;Wolfgang Rössler;Peter Mertens,"P.Bauer, W. Rössler, P. Mertens, Nucl.Instrum.Methods Phys.Res. B69,46 (1992)",1992
Br1992b,10.1103/physrevlett.69.1137,P. Bauer;F. Kastner;A. Arnau;A. Salin;P. D. Fainstein;V. H. Ponce;P. M. Echenique,"P.Bauer,F.Kastner,A.Arnau,A.Salin,P.D.Fairstein,V.H.Ponce and P.M.Echenique, Phys. Rev. Letters 69, 1137 (1992) and personal communication from P. Bauer",1992
Br1994a,,p. Bauer;W. Käferböck;V. Necas,"P.Bauer,W.Käferböck,V.Necas, Nucl.Instrum.Methods Phys.Res. B93,132 (1994)",1994
Br1998,10.1016/s0168-583x(97)00868-9,Bauer P; Golser R; Semrad D; Maier-Komor P; Aumayr F; Arnau A,"Bauer, P., Golser, R., Semrad, D., Maier-Komor, P., Aumayr, F., & Arnau, A. (1998)",1998
Brd1967a,10.1103/physrev.159.276,L. B. Bridwell;L. C. Northcliffe;S. Datz;C. D. Moak;H. O. Lutz,"L.B.Bridwell and C.D.Moak Phys.Rev. 156,242",1967
